Ticker,Date,Result,PnL,RS_Rating,AD_Rating,VCP_Tight,VCP_DryUp,ATR_Risk,Has_FVG
META,2015-12-01,Loss,-17.633688448589748,,58.71028385644291,True,False,9.51277030130139,True
META,2016-02-18,Win,57.773010083710695,68.75,46.37527344910362,True,False,5.238684548747573,True
META,2016-06-23,Win,28.312298865163726,98.60714285714286,60.317123198076736,True,True,4.857235747177464,True
META,2016-09-19,Win,35.3215244683937,83.28571428571429,56.75003299825625,True,False,4.407800054037708,True
META,2016-12-15,Win,47.519192183918655,99.0,56.81299814542088,True,False,4.7772909359489715,True
META,2017-07-12,Win,49.29221029122493,71.10714285714286,55.08252182708889,True,True,5.035321432267226,True
META,2018-01-29,Loss,-23.180016245455782,39.67857142857143,56.1632538824958,True,True,9.844887053829996,True
META,2019-01-18,Win,66.83087067124728,15.714285714285714,48.8842898475903,True,True,5.381299644838856,True
META,2020-02-11,Loss,-15.04518613448734,99.0,55.77358187863257,True,False,5.78079516338334,True
META,2020-05-07,Win,52.16318011912515,92.71428571428571,53.00931303693744,True,True,5.522693320201122,True
META,2020-08-17,Win,67.00670875174734,98.21428571428572,56.77784159900079,True,True,7.697036401482376,True
META,2021-08-05,Win,45.48352168474966,55.392857142857146,58.43584956734025,True,True,4.796948579299116,True
META,2022-03-18,Loss,-23.49828531608285,24.357142857142854,51.99391380678846,True,True,4.882739410619548,True
META,2022-07-20,Loss,-22.648950571144177,15.321428571428571,52.2182079748006,True,False,5.631696538324769,True
META,2022-12-13,Loss,-18.245793158130304,67.17857142857143,50.255116457125595,True,True,4.743197791009026,True
META,2023-01-17,Win,69.41047790902728,80.53571428571429,55.957158310589904,True,True,5.8635375408859005,True
META,2023-05-18,Win,56.608665254928745,92.71428571428571,56.15510076951974,True,False,6.868433198023742,True
META,2023-10-11,Loss,-14.19818274499307,81.32142857142857,49.44896385655928,True,True,5.518290370440819,True
META,2023-11-10,Win,61.38160256240237,63.24999999999999,52.338697993757876,True,False,7.1537862122999565,True
META,2024-02-23,Win,74.05303137237243,86.03571428571429,58.89403695604529,True,False,6.694931852526971,True
META,2024-10-07,Loss,-20.445108267368123,27.892857142857142,51.093418887286845,True,True,6.113292238911029,True
META,2025-05-07,Win,62.7606466127226,18.464285714285715,54.29163860121689,True,True,6.505672317702142,True
XOM,2015-12-01,Loss,-17.633688448589748,,58.71028385644291,True,False,9.51277030130139,True
XOM,2016-02-18,Win,57.773010083710695,68.75,46.37527344910362,True,False,5.238684548747573,True
XOM,2016-06-23,Win,28.312298865163726,98.60714285714286,60.317123198076736,True,True,4.857235747177464,True
XOM,2016-09-19,Win,35.3215244683937,83.28571428571429,56.75003299825625,True,False,4.407800054037708,True
XOM,2016-12-15,Win,47.519192183918655,99.0,56.81299814542088,True,False,4.7772909359489715,True
XOM,2017-07-12,Win,49.29221029122493,71.10714285714286,55.08252182708889,True,True,5.035321432267226,True
XOM,2018-01-29,Loss,-23.180016245455782,39.67857142857143,56.1632538824958,True,True,9.844887053829996,True
XOM,2019-01-18,Win,66.83087067124728,15.714285714285714,48.8842898475903,True,True,5.381299644838856,True
XOM,2020-02-11,Loss,-15.04518613448734,99.0,55.77358187863257,True,False,5.78079516338334,True
XOM,2020-05-07,Win,52.16318011912515,92.71428571428571,53.00931303693744,True,True,5.522693320201122,True
XOM,2020-08-17,Win,67.00670875174734,98.21428571428572,56.77784159900079,True,True,7.697036401482376,True
XOM,2021-08-05,Win,45.48352168474966,55.392857142857146,58.43584956734025,True,True,4.796948579299116,True
XOM,2022-03-18,Loss,-23.49828531608285,24.357142857142854,51.99391380678846,True,True,4.882739410619548,True
XOM,2022-07-20,Loss,-22.648950571144177,15.321428571428571,52.2182079748006,True,False,5.631696538324769,True
XOM,2022-12-13,Loss,-18.245793158130304,67.17857142857143,50.255116457125595,True,True,4.743197791009026,True
XOM,2023-01-17,Win,69.41047790902728,80.53571428571429,55.957158310589904,True,True,5.8635375408859005,True
XOM,2023-05-18,Win,56.608665254928745,92.71428571428571,56.15510076951974,True,False,6.868433198023742,True
XOM,2023-10-11,Loss,-14.19818274499307,81.32142857142857,49.44896385655928,True,True,5.518290370440819,True
XOM,2023-11-10,Win,61.38160256240237,63.24999999999999,52.338697993757876,True,False,7.1537862122999565,True
XOM,2024-02-23,Win,74.05303137237243,86.03571428571429,58.89403695604529,True,False,6.694931852526971,True
XOM,2024-10-07,Loss,-20.445108267368123,27.892857142857142,51.093418887286845,True,True,6.113292238911029,True
XOM,2025-05-07,Win,62.7606466127226,18.464285714285715,54.29163860121689,True,True,6.505672317702142,True
JPM,2015-12-01,Loss,-17.633688448589748,,58.71028385644291,True,False,9.51277030130139,True
JPM,2016-02-18,Win,57.773010083710695,68.75,46.37527344910362,True,False,5.238684548747573,True
JPM,2016-06-23,Win,28.312298865163726,98.60714285714286,60.317123198076736,True,True,4.857235747177464,True
JPM,2016-09-19,Win,35.3215244683937,83.28571428571429,56.75003299825625,True,False,4.407800054037708,True
JPM,2016-12-15,Win,47.519192183918655,99.0,56.81299814542088,True,False,4.7772909359489715,True
JPM,2017-07-12,Win,49.29221029122493,71.10714285714286,55.08252182708889,True,True,5.035321432267226,True
JPM,2018-01-29,Loss,-23.180016245455782,39.67857142857143,56.1632538824958,True,True,9.844887053829996,True
JPM,2019-01-18,Win,66.83087067124728,15.714285714285714,48.8842898475903,True,True,5.381299644838856,True
JPM,2020-02-11,Loss,-15.04518613448734,99.0,55.77358187863257,True,False,5.78079516338334,True
JPM,2020-05-07,Win,52.16318011912515,92.71428571428571,53.00931303693744,True,True,5.522693320201122,True
JPM,2020-08-17,Win,67.00670875174734,98.21428571428572,56.77784159900079,True,True,7.697036401482376,True
JPM,2021-08-05,Win,45.48352168474966,55.392857142857146,58.43584956734025,True,True,4.796948579299116,True
JPM,2022-03-18,Loss,-23.49828531608285,24.357142857142854,51.99391380678846,True,True,4.882739410619548,True
JPM,2022-07-20,Loss,-22.648950571144177,15.321428571428571,52.2182079748006,True,False,5.631696538324769,True
JPM,2022-12-13,Loss,-18.245793158130304,67.17857142857143,50.255116457125595,True,True,4.743197791009026,True
JPM,2023-01-17,Win,69.41047790902728,80.53571428571429,55.957158310589904,True,True,5.8635375408859005,True
JPM,2023-05-18,Win,56.608665254928745,92.71428571428571,56.15510076951974,True,False,6.868433198023742,True
JPM,2023-10-11,Loss,-14.19818274499307,81.32142857142857,49.44896385655928,True,True,5.518290370440819,True
JPM,2023-11-10,Win,61.38160256240237,63.24999999999999,52.338697993757876,True,False,7.1537862122999565,True
JPM,2024-02-23,Win,74.05303137237243,86.03571428571429,58.89403695604529,True,False,6.694931852526971,True
JPM,2024-10-07,Loss,-20.445108267368123,27.892857142857142,51.093418887286845,True,True,6.113292238911029,True
JPM,2025-05-07,Win,62.7606466127226,18.464285714285715,54.29163860121689,True,True,6.505672317702142,True
AMZN,2015-12-01,Loss,-17.633688448589748,,58.71028385644291,True,False,9.51277030130139,True
AMZN,2016-02-18,Win,57.773010083710695,68.75,46.37527344910362,True,False,5.238684548747573,True
AMZN,2016-06-23,Win,28.312298865163726,98.60714285714286,60.317123198076736,True,True,4.857235747177464,True
AMZN,2016-09-19,Win,35.3215244683937,83.28571428571429,56.75003299825625,True,False,4.407800054037708,True
AMZN,2016-12-15,Win,47.519192183918655,99.0,56.81299814542088,True,False,4.7772909359489715,True
AMZN,2017-07-12,Win,49.29221029122493,71.10714285714286,55.08252182708889,True,True,5.035321432267226,True
AMZN,2018-01-29,Loss,-23.180016245455782,39.67857142857143,56.1632538824958,True,True,9.844887053829996,True
AMZN,2019-01-18,Win,66.83087067124728,15.714285714285714,48.8842898475903,True,True,5.381299644838856,True
